qid,text,dataset,Emotional,Environmental,Financial,Intellectual,Occupational,Physical,Social,Spiritual
CD_RISC_1,I am able to adapt when changes occur.,CD-RISC,0.17485715,0.07235422,0.073338605,0.16442873,0.1266428,0.08995419,0.11029182,0.14854646
CD_RISC_10,"I make my best effort, no matter what.",CD-RISC,0.14800614,0.09031049,0.15022168,0.2599575,0.23081084,0.17298698,0.19764557,0.1565983
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",CD-RISC,0.23187844,0.15492758,0.2566941,0.27599984,0.24853404,0.19087216,0.18018384,0.2811564
CD_RISC_12,"Even when hopeless, I do not give up.",CD-RISC,0.24427304,0.022184674,0.18105924,0.15111558,0.15811996,0.03128478,0.11909787,0.1431201
CD_RISC_13,"In times of stress, I know where to find help.",CD-RISC,0.36014667,0.15045193,0.16927107,0.13045974,0.12177871,0.15980107,0.15002601,0.15765165
CD_RISC_14,"Under pressure, I stay focused and think clearly.",CD-RISC,0.22171012,0.104645774,0.17634788,0.31439778,0.09655821,0.13668217,0.13148141,0.22815481
CD_RISC_15,I prefer to take the lead in problem-solving.,CD-RISC,0.17082596,0.12555943,0.17247994,0.4031392,0.21790878,0.06877883,0.19450162,0.13405608
CD_RISC_16,I am not easily discouraged by failure.,CD-RISC,0.23917627,0.02724789,0.18629959,0.25842085,0.20398517,0.07402311,0.15649977,0.11155429
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,CD-RISC,0.47114268,0.21342471,0.2336336,0.28191,0.2948436,0.24596596,0.31966978,0.41033673
CD_RISC_18,I make unpopular or difficult decisions.,CD-RISC,0.1382087,0.10025214,0.1714431,0.17398493,0.0929721,0.02887753,0.1352069,0.090869844
CD_RISC_19,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",CD-RISC,0.55324733,0.21837537,0.12979214,0.21751139,0.21237132,0.18497275,0.17800346,0.28651482
CD_RISC_2,I have one close and secure relationship.,CD-RISC,0.14647903,0.17000644,0.21540812,0.0467904,0.06705941,0.034801643,0.389733,0.1422871
CD_RISC_20,I have to act on a hunch.,CD-RISC,0.0824515,0.10040279,-0.0093220305,0.13581434,0.10059295,0.10574764,0.10896444,0.038794782
CD_RISC_21,I have a strong sense of purpose in life.,CD-RISC,0.30132732,0.29582548,0.22371808,0.36650085,0.37166408,0.19671069,0.2902014,0.4172976
CD_RISC_22,I feel like I am in control.,CD-RISC,0.18696949,0.060795296,0.10966351,0.10771588,-0.0055978806,0.036778033,0.103086665,0.084433705
CD_RISC_23,I like challenges.,CD-RISC,0.15596835,0.09795521,0.06491047,0.17482513,0.07713194,0.09299041,0.09403817,0.1605592
CD_RISC_24,I work to attain goals.,CD-RISC,0.18285686,0.084446296,0.29727766,0.3284666,0.44218215,0.20553899,0.1932765,0.21700597
CD_RISC_25,I take pride in my achievements.,CD-RISC,0.2012752,0.06947939,0.028835043,0.2559343,0.29693726,0.11197853,0.15022936,0.11964997
CD_RISC_3,Sometimes fate or God helps me.,CD-RISC,0.29268485,0.17769022,0.22768879,0.2241207,0.2424962,0.120774664,0.21391657,0.35450324
CD_RISC_4,I can deal with whatever comes my way.,CD-RISC,0.20701604,0.20615749,0.18136895,0.15368825,0.09112599,0.11928747,0.21877804,0.15632066
CD_RISC_5,Past successes give me confidence.,CD-RISC,0.15364434,-0.00841665,0.098726824,0.156003,0.1995783,0.0773407,0.16830115,0.09727707
CD_RISC_6,I try to see the humorous side of things when I am faced with problems.,CD-RISC,0.22533457,0.10694454,0.097719416,0.21702082,0.13186884,0.04489615,0.13205098,0.106848046
CD_RISC_7,Having to cope with stress can make me stronger.,CD-RISC,0.40268722,0.15053962,0.1742138,0.19973269,0.19196033,0.20532362,0.19890407,0.2221009
